Model Name,Accuracy,ROC AUC
Decision Tree,0.9606,0.904226406435511
Neural Network,0.8388571428571429,0.5924731278472012
XGBClassifier,0.8278428571428571,0.5592409169258453
Logistic Regression,0.8073571428571429,0.5091473448648288
Gradient Boosting,0.8061428571428572,0.5034033521188611
AdaBoost Classifier,0.8050857142857143,0.5042711913485688
